Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
 InstaPay*** ,Nov,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Dec,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Jan,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Feb,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Mar,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Apr,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,May,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Jun,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Jul,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Aug,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Sep,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Oct,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Nov,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Dec,2017,0.00,0.00,BSP,,,,
 InstaPay*** ,Jan,2018,0.00,0.00,BSP,,,,
 InstaPay*** ,Feb,2018,0.00,0.00,BSP,,,,
 InstaPay*** ,Mar,2018,0.00,0.00,BSP,,,,
 InstaPay*** ,Apr,2018,257.00,34260290.78,BSP,,,,
 InstaPay*** ,May,2018,813.00,310046079.92,BSP,,,,
 InstaPay*** ,Jun,2018,882.00,598537679.44,BSP,,,,
 InstaPay*** ,Jul,2018,1166.00,944084019.80,BSP,,,,
 InstaPay*** ,Aug,2018,1340.00,1397515746.64,BSP,,,,
 InstaPay*** ,Sep,2018,1403.00,2947802522.40,BSP,,,,
 InstaPay*** ,Oct,2018,1730.00,10000000000.00,BSP,,,,
 InstaPay*** ,Nov,2018,1496.00,10000000000.00,BSP,,,,
 InstaPay*** ,Dec,2018,1504.00,10000000000.00,BSP,,,,
 InstaPay*** ,Jan,2019,1895.00,11363770000.00,BSP,,,,
 InstaPay*** ,Feb,2019,1653.00,11041833000.00,BSP,,,,
 InstaPay*** ,Mar,2019,1940.00,14719182000.00,BSP,,,,
 InstaPay*** ,Apr,2019,1808.00,16104221000.00,BSP,,,,
 InstaPay*** ,May,2019,2091.00,21155270000.00,BSP,,,,
USD Trades (Peso Leg),Jan,2016,12885.00,2516018932036.00,BSP,,,,
USD Trades (Peso Leg),Feb,2016,10976.00,2240042477182.90,BSP,,,,
USD Trades (Peso Leg),Mar,2016,13582.00,2878701756310.95,BSP,,,,
USD Trades (Peso Leg),Apr,2016,13624.00,2748396950806.35,BSP,,,,
USD Trades (Peso Leg),May,2016,13045.00,2630804250178.43,BSP,,,,
USD Trades (Peso Leg),Jun,2016,13879.00,3023410690640.09,BSP,,,,
USD Trades (Peso Leg),Jul,2016,12014.00,2893719904395.34,BSP,,,,
USD Trades (Peso Leg),Aug,2016,11512.00,2554018698015.25,BSP,,,,
USD Trades (Peso Leg),Sep,2016,13156.00,2619810119029.35,BSP,,,,
USD Trades (Peso Leg),Oct,2016,11735.00,2475803213797.95,BSP,,,,
USD Trades (Peso Leg),Nov,2016,11120.00,2280623174396.97,BSP,,,,
USD Trades (Peso Leg),Dec,2016,8456.00,2214467322660.49,BSP,,,,
USD Trades (Peso Leg),Jan,2017,12022.00,2343941932862.04,BSP,,,,
USD Trades (Peso Leg),Feb,2017,10115.00,2003257925300.65,BSP,,,,
USD Trades (Peso Leg),Mar,2017,10904.00,2129134716324.00,BSP,,,,
USD Trades (Peso Leg),Apr,2017,9461.00,1943789578344.99,BSP,,,,
USD Trades (Peso Leg),May,2017,12499.00,2244650625482.02,BSP,,,,
USD Trades (Peso Leg),Jun,2017,12012.00,2268404726624.96,BSP,,,,
USD Trades (Peso Leg),Jul,2017,11753.00,2146575652925.89,BSP,,,,
USD Trades (Peso Leg),Aug,2017,13700.00,2404978491983.49,BSP,,,,
USD Trades (Peso Leg),Sep,2017,13146.00,2389037204583.21,BSP,,,,
USD Trades (Peso Leg),Oct,2017,13624.00,2582698525794.39,BSP,,,,
USD Trades (Peso Leg),Nov,2017,11962.00,2395831078560.02,BSP,,,,
USD Trades (Peso Leg),Dec,2017,10972.00,2055497547470.57,BSP,,,,
USD Trades (Peso Leg),Jan,2018,16220.00,2767453080455.39,BSP,,,,
